Donor_Name,Pi_Name,Acceptor_Name,Donor_SMILES,Pi_SMILES,Acceptor_SMILES,SMILES,Source_Class,Anchoring_Group,Predicted_Abs_Max_nm,Predicted_PCE_Percent
Alizarin_inspired,Ethene,Phosphonic_acid,O=C1c2ccccc2C(=O)c3c([At])c(O)c(O)cc31,[I]/C=C/[Br],[Cl]C=CP(=O)(O)O,O=C1c2ccccc2C(=O)c2c1cc(O)c(O)c2C=CC=CP(=O)(O)O,Natural-derived,phosphonic_acid,444.6503968180085,6.81465
Plumbagin_inspired,Furan,Rhodanine-3-acetic_acid,CC1=C([At])C(=O)c2cccc(O)c2C1=O,[I]c1ccoc1[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,CC1=C(c2ccoc2C=C2SC(=O)N(CC(=O)O)C2=O)C(=O)c2cccc(O)c2C1=O,Natural-derived,carboxylic_acid,463.4517922004015,6.811300000000004
Purpurin_inspired,Benzene,Benzoic_acid,O=C1c2ccccc2C(=O)c3c([At])c(O)c(O)c(O)c31,[I]c1ccc([Br])cc1,[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(-c2ccc(-c3c(O)c(O)c(O)c4c3C(=O)c3ccccc3C4=O)cc2)cc1,Natural-derived,carboxylic_acid,426.4345391357853,6.807950000000003
Luteolin_inspired,Ethene,Phosphonic_acid,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c([At])cc21,[I]/C=C/[Br],[Cl]C=CP(=O)(O)O,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c(C=CC=CP(=O)(O)O)cc12,Natural-derived,phosphonic_acid,418.0271462265883,6.8036
Lawsone_inspired,Pyrrole_N-methyl,Phosphonic_acid,O=C1c2ccccc2C(=O)C(O)=C1[At],[I]c1ccn(C)c1[Br],[Cl]C=CP(=O)(O)O,Cn1ccc(C2=C(O)C(=O)c3ccccc3C2=O)c1C=CP(=O)(O)O,Natural-derived,phosphonic_acid,429.50900462420935,6.802950000000001
Lawsone_inspired,Bithiophene,Benzoic_acid,O=C1c2ccccc2C(=O)C(O)=C1[At],[I]c1ccsc1-c2cc([Br])cs2,[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(-c2csc(-c3sccc3C3=C(O)C(=O)c4ccccc4C3=O)c2)cc1,Natural-derived,carboxylic_acid,435.08198665781856,6.7993000000000015
Pelargonidin_inspired,Ethene,Benzoic_acid,Oc1ccc(-c2[o+]c3cc(O)cc(O)c3cc2[At])cc1,[I]/C=C/[Br],[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(C=Cc2cc3c(O)cc(O)cc3[o+]c2-c2ccc(O)cc2)cc1,Natural-derived,carboxylic_acid,400.61958086911517,6.798450000000002
Plumbagin_inspired,Ethene,Phosphonic_acid,CC1=C([At])C(=O)c2cccc(O)c2C1=O,[I]/C=C/[Br],[Cl]C=CP(=O)(O)O,CC1=C(C=CC=CP(=O)(O)O)C(=O)c2cccc(O)c2C1=O,Natural-derived,phosphonic_acid,420.27028029188557,6.798000000000002
Kaempferol_inspired,Ethene,Phosphonic_acid,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)c([At])cc21,[I]/C=C/[Br],[Cl]C=CP(=O)(O)O,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)c(C=CC=CP(=O)(O)O)cc12,Natural-derived,phosphonic_acid,416.8137753179711,6.796500000000001
Purpurin_inspired,Thiophene,Rhodanine-3-acetic_acid,O=C1c2ccccc2C(=O)c3c([At])c(O)c(O)c(O)c31,[I]c1ccsc1[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,O=C(O)CN1C(=O)SC(=Cc2sccc2-c2c(O)c(O)c(O)c3c2C(=O)c2ccccc2C3=O)C1=O,Natural-derived,carboxylic_acid,478.11908366877935,6.795050000000003
