Donor_Name,Pi_Name,Acceptor_Name,Donor_SMILES,Pi_SMILES,Acceptor_SMILES,SMILES,Source_Class,Anchoring_Group
Coumarin,Bithiophene,Barbituric_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccsc1-c2cc([Br])cs2,O=C1NC(=O)NC(=O)/C1=C/[Cl],O=C1NC(=O)C(=Cc2csc(-c3sccc3-c3ccc4oc(=O)ccc4c3)c2)C(=O)N1,Natural-derived,None
Coumarin,Pyrrole_N-methyl,Cyanoacrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccn(C)c1[Br],[Cl]C=C(C#N)C(=O)O,Cn1ccc(-c2ccc3oc(=O)ccc3c2)c1C=C(C#N)C(=O)O,Natural-derived,cyanoacrylate
Coumarin,Pyrrole_N-methyl,Acrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccn(C)c1[Br],[Cl]C=CC(=O)O,Cn1ccc(-c2ccc3oc(=O)ccc3c2)c1C=CC(=O)O,Natural-derived,carboxylic_acid
Coumarin,Pyrrole_N-methyl,Benzoic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccn(C)c1[Br],[Cl]c1ccc(C(=O)O)cc1,Cn1ccc(-c2ccc3oc(=O)ccc3c2)c1-c1ccc(C(=O)O)cc1,Natural-derived,carboxylic_acid
Coumarin,Pyrrole_N-methyl,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccn(C)c1[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,Cn1ccc(-c2ccc3oc(=O)ccc3c2)c1C=C1SC(=O)N(CC(=O)O)C1=O,Natural-derived,carboxylic_acid
Coumarin,Pyrrole_N-methyl,Phosphonic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccn(C)c1[Br],[Cl]C=CP(=O)(O)O,Cn1ccc(-c2ccc3oc(=O)ccc3c2)c1C=CP(=O)(O)O,Natural-derived,phosphonic_acid
Coumarin,Pyrrole_N-methyl,Barbituric_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccn(C)c1[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],Cn1ccc(-c2ccc3oc(=O)ccc3c2)c1C=C1C(=O)NC(=O)NC1=O,Natural-derived,None
Coumarin_dimethylamino,Thiophene,Cyanoacrylic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccsc1[Br],[Cl]C=C(C#N)C(=O)O,CN(C)c1c(-c2ccsc2C=C(C#N)C(=O)O)ccc2oc(=O)ccc12,Natural-derived,cyanoacrylate
Coumarin_dimethylamino,Thiophene,Acrylic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccsc1[Br],[Cl]C=CC(=O)O,CN(C)c1c(-c2ccsc2C=CC(=O)O)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid
Coumarin_dimethylamino,Thiophene,Benzoic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccsc1[Br],[Cl]c1ccc(C(=O)O)cc1,CN(C)c1c(-c2ccsc2-c2ccc(C(=O)O)cc2)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid
Coumarin_dimethylamino,Thiophene,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccsc1[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,CN(C)c1c(-c2ccsc2C=C2SC(=O)N(CC(=O)O)C2=O)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid
