dye_raw,eco_class,valid_record_count,avg_pce_percent,max_pce_percent,avg_jsc_raw,avg_voc_raw,avg_ff_raw,example_name,example_smiles,common_semiconductors,common_redox_couples,common_substrates,sources,screening_reasons,example_dois,example_titles
SP1,metal_free_candidate_uncertain,1,3.54,3.54,6.85,696.0,0.74,,,,,,rsc,no_excluded_metal_keyword_detected,10.1039/C2NJ40374A,Synthesis and applications of new triphenylamine dyes with donor–donor–(bridge)–acceptor structure for organic dye -sensitized solar cells  
CTPAR1,metal_free_candidate_uncertain,1,3.54,3.54,10.6,0.579,0.58,,,TiO2,I−/I3−,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.matchemphys.2011.07.038,Performance variation from triphenylamine- to carbazole–triphenylamine–rhodaniline-3-acetic acid dyes in dye-sensitized solar cells
DP-T,metal_free_candidate_uncertain,5,3.388,3.53,7.49,124.1254,0.7014,,,,,,elsevier; rsc,no_excluded_metal_keyword_detected,10.1016/j.dyepig.2012.09.001; 10.1039/C2JM33228K,New N-methyl pyrrole and thiophene based D–π–A systems for dye-sensitized solar cells | Structure–photovoltaic performance relationships for DSSC sensitizers having heterocyclic and benzene spacers  
M-SSS,metal_free_candidate_uncertain,3,3.2633,3.53,9.0933,0.57,0.6333,,,TiO2,,FTO,elsevier,no_excluded_metal_keyword_detected,10.1016/j.tsf.2014.03.010,Triarylene linked spacer effect for dye-sensitized solar cells
KNS1 + CDCA,metal_free_candidate_uncertain,1,3.53,3.53,7.66,0.65,0.71,,,TiO2,I−/I3−,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.electacta.2015.04.071,Simple Metal-Free Dyes Derived from Triphenylamine for DSSC: A Comparative Study of Two Different Anchoring Group
D-3,metal_free_organic_candidate,3,2.57,3.52,5.29,473.7547,0.6867,,C1COC2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H]1C(=O)NCC(=O)O)CCCCN)CCC(=O)O,TiO2,I−/I3−,FTO,elsevier; rsc,metal_free_smiles_screen,10.1016/j.dyepig.2011.01.010; 10.1016/j.dyepig.2011.11.005; 10.1039/C8NJ06242K,Ferrocenylethenyl-substituted oxadiazoles with phenolic and nitro anchors as sensitizers in dye sensitized solar cells   | Novel dyes based on naphthalimide moiety as electron acceptor for efficient dye-sensitized solar cells | Photovoltaic performance of solid-state DSSCs sensitized with organic isophorone dyes: Effect of dye-loaded amount and dipole moment
SH4,metal_free_organic_candidate,3,3.4733,3.52,4.2167,0.554,0.7667,,C[C@@H](C1=CC=CC=C1)OP(=O)(CC2=CC=C(C=C2)NC(=O)C)O,TiO2,,,rsc,metal_free_smiles_screen,10.1039/C6QM00119J,"Significance of π-bridge contribution in pyrido[3,4- b ]pyrazine featured D–A–π–A organic dyes for dye-sensitized solar cells  "
ID1,natural_or_bio_based_candidate,2,3.425,3.52,8.345,619.5,0.68,,,TiO2,I−/I3−,,elsevier,keyword:indigo; natural_or_plant_name_screen; no_excluded_metal_keyword_detected,10.1016/j.dyepig.2014.07.017; 10.1016/j.synthmet.2013.09.039,"Near-infrared absorbing isoindigo sensitizers: Synthesis and performance for dye-sensitized solar cells | Series of D-π-A system based on isoindigo dyes for DSSC: Synthesis, electrochemical and photovoltaic properties"
SQ-90,metal_free_candidate_uncertain,1,3.52,3.52,9.84,0.55,0.64,,,TiO2,I−/I3−,FTO,rsc,no_excluded_metal_keyword_detected,10.1039/C7TA06990A,Investigation of the minimum driving force for dye regeneration utilizing model squaraine dyes for dye-sensitized solar cells 
8 d,metal_free_candidate_uncertain,1,3.52,3.52,10.0,513.0,68.5,,,TiO2,,,rsc,no_excluded_metal_keyword_detected,10.1039/C4DT00301B,"Synthesis, photovoltaic performances and TD-DFT modeling of push–pull diacetylide platinum complexes in TiO 2 based dye-sensitized solar cells  "
UY10,metal_free_candidate_uncertain,1,3.52,3.52,10.02,522.0,0.67,,,TiO2,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.dyepig.2015.02.001,Design of Bodipy based organic dyes for high-efficient dye-sensitized solar cells employing double electron acceptors
TPAA3,metal_free_organic_candidate,2,3.495,3.51,7.4,0.655,0.725,,,TiO2,I−/I3−,,elsevier,organic_keyword:cyanoacrylic,10.1016/j.solener.2015.11.025,Effect of recombination and binding properties on the performance of dye sensitized solar cells based on propeller shaped triphenylamine dyes with multiple binding groups
ZnTTTD,metal_free_candidate_uncertain,1,3.51,3.51,9.34,0.57,0.66,,,,,,rsc,no_excluded_metal_keyword_detected,10.1039/C7NJ01184A,Significant enhancement in the performance of porphyrin for dye-sensitized solar cells: aggregation control using chenodeoxycholic acid  
SC - NPyT3 + 100 mM CDCA,metal_free_candidate_uncertain,1,3.51,3.51,8.79,0.59,0.68,,,TiO2,,FTO,elsevier,no_excluded_metal_keyword_detected,10.1016/j.orgel.2013.11.031,"Synthesis, optical and electrochemical properties of pyridal[2,1,3]thiadiazole based organic dyes for dye sensitized solar cells"
10 min,metal_free_candidate_uncertain,4,1.9,3.5,4.1,161.62,14.175,,,TiO2; ZnO,,FTO; glass,elsevier; rsc,no_excluded_metal_keyword_detected,10.1016/S0927-0248(01)00110-6; 10.1039/C2RA22465H,"A 5% efficient photoelectrochemical solar cell based on nanostructured ZnO electrodes | Effect of amount of dye in the TiO 2 photoanode on electron transport, recombination, J sc and V oc of dye -sensitized solar cells "
( 10 ),metal_free_candidate_uncertain,2,3.15,3.5,6.755,0.665,0.68,,,,I3−/I−,,rsc,no_excluded_metal_keyword_detected,10.1039/C3TA15278B; 10.1039/C4TA06896C,A study of dye anchoring points in half-squarylium dyes for dye-sensitized solar cells   | Multiple linker half-squarylium dyes for dye-sensitized solar cells; are two linkers better than one?  
( 4 c ) + CDCA,metal_free_candidate_uncertain,1,3.5,3.5,7.92,0.63,0.67,,,,I3−/I−,,rsc,no_excluded_metal_keyword_detected,10.1039/C3TA15278B,A study of dye anchoring points in half-squarylium dyes for dye-sensitized solar cells  
PPTZCZ,metal_free_candidate_uncertain,1,3.5,3.5,6.06,775.0,0.75,,,,,glass,rsc,no_excluded_metal_keyword_detected,10.1039/C3RA42161A,Synthesis and characterization of conjugated polymers with main-chain donors and pendent acceptors for dye -sensitized solar cells 
5b ( device B ),metal_free_candidate_uncertain,1,3.5,3.5,8.56,0.62,0.63,,,TiO2,,FTO,rsc,no_excluded_metal_keyword_detected,10.1039/C3QI00095H,Dye-sensitized solar cells based on triazine-linked porphyrin dyads containing one or two carboxylic acid anchoring groups  
CD-3,metal_free_organic_candidate,1,3.5,3.5,7.5,0.731,71.0,,CCN(CCNS(=O)(=O)C)C1=CC(=C(C=C1)N)C,TiO2,,FTO,elsevier,metal_free_smiles_screen,10.1016/j.orgel.2017.06.013,Coumarin based sensitizers with ortho-halides substituted phenylene spacer for dye sensitized solar cells
0.15 mM 3 + 0.15 mM SQ2,metal_free_candidate_uncertain,1,3.5,3.5,9.59,0.59,0.62,,,TiO2,I-/I3-,FTO,elsevier,no_excluded_metal_keyword_detected,10.1016/j.orgel.2013.06.026,A remarkable enhancement of efficiency by co-adsorption with CDCA on the bithiazole-based dye-sensitized solar cells
8.91 × 10− 7,metal_free_candidate_uncertain,1,3.5,3.5,7.3,0.81,59.19,,,TiO2,,FTO,elsevier,no_excluded_metal_keyword_detected,10.1016/j.matdes.2016.05.007,Photoexcitation of neodymium doped TiO2 for improved performance in dye-sensitized solar cells
TPA-Th-H,metal_free_candidate_uncertain,1,3.5,3.5,7.08,664.0,73.0,,,TiO2,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.carbon.2017.01.081,A D-π-A organic dye – Reduced graphene oxide covalent dyad as a new concept photosensitizer for light harvesting applications
NKX - 2586,metal_free_candidate_uncertain,1,3.5,3.5,15.1,0.47,0.5,,,,,,elsevier,no_excluded_metal_keyword_detected,10.1016/S0927-0248(02)00460-9,Dye-sensitized nanocrystalline TiO2 solar cells based on novel coumarin dyes
TH-0F,metal_free_candidate_uncertain,1,3.49,3.49,8.52,0.57,71.68,,,TiO2,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.dyepig.2019.107984,Porphyrin sensitizers involving a fluorine-substituted benzothiadiazole as auxiliary acceptor and thiophene as π bridge for use in dye-sensitized solar cells (DSSCs)
H8,metal_free_organic_candidate,1,3.49,3.49,7.85,0.62,71.67,,CNCCNS(=O)(=O)C1=CC=CC2=C1C=CN=C2,,,,elsevier,organic_keyword:cyanoacrylic,10.1016/j.tet.2012.04.074,Functionalized organic dyes containing a phenanthroimidazole donor for dye-sensitized solar cell applications
D14,metal_free_candidate_uncertain,1,3.48,3.48,6.95,670.0,0.75,,,TiO2,I−/I3−,,rsc,no_excluded_metal_keyword_detected,10.1039/C7SE00068E,Recent developments in tetrathiafulvalene and dithiafulvalene based metal-free organic sensitizers for dye-sensitized solar cells: a mini-review  
phen,metal_free_organic_candidate,3,3.2633,3.47,8.68,0.7467,0.5033,,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,TiO2,,,elsevier,metal_free_smiles_screen,10.1016/j.jpowsour.2019.226825,"1,10 phenanthroline 5,6 diol metal complex (Cu, Fe) sensitized solar cells: A cocktail dye effect"
CP1,metal_free_candidate_uncertain,2,3.29,3.47,7.26,0.685,0.69,,,TiO2,,,elsevier; rsc,no_excluded_metal_keyword_detected,10.1016/j.tetlet.2011.12.133; 10.1039/C1CC16248A,A novel pyridinium hemicyanine dye with carboxylate anchoring group and its application in dye-sensitized solar cells | [2.2]Paracyclophane as a bridging unit in the design of organic dyes for sensitized solar cells  
JY17,metal_free_candidate_uncertain,2,3.28,3.47,8.6,581.5,0.655,,,TiO2,iodide/triiodide,,rsc,no_excluded_metal_keyword_detected,10.1039/C5RA04283F,"Tri( N -carbazolyl)triphenylamine-based starburst organic dyes: effects of different acceptors on the optical, electrochemical and photovoltaic properties "
E3 ( bpy ) cell 1,metal_free_candidate_uncertain,1,3.47,3.47,,646.0,,,,TiO2,,,rsc,no_excluded_metal_keyword_detected,10.1039/C6TA04879J,Understanding why replacing I 3 − /I − by cobalt( ii )/( iii ) electrolytes in bis(diimine)copper( i )-based dye-sensitized solar cells improves performance  
CZ - ZnP,metal_free_candidate_uncertain,1,3.47,3.47,7.0,680.0,0.729,,,TiO2,,,rsc,no_excluded_metal_keyword_detected,10.1039/C5RA04862A,Rigid triarylamine donor–π–acceptor porphyrin dyes and their application in dye-sensitized solar cells  
TPA-T1,metal_free_organic_candidate,3,3.0567,3.46,8.3,0.6433,0.57,,,TiO2,I−/I3−,glass,elsevier,organic_keyword:cyanoacrylic,10.1016/j.cap.2010.11.052,International Conference on Electronic Materials
RC-12,metal_free_organic_candidate,1,3.46,3.46,6.56,0.7,0.75,,CCN(CC)CCN(CCN(CC)CC)C1=CC(=C(C=C1Br)OC)OC,TiO2,I−/I3−,,rsc,organic_keyword:cyanoacrylic|thiophene,10.1039/C2RA20798B,Bistriphenylamine-based organic sensitizers with high molar extinction coefficients for dye -sensitized solar cells 
LC-7,metal_free_candidate_uncertain,1,3.46,3.46,7.84,598.0,0.74,,,TiO2,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.dyepig.2017.02.013,New benzoselenadiazole-based D–A–π–A type triarylamine sensitizers for highly efficient dye-sensitized solar cells
