dye_raw,eco_class,valid_record_count,avg_pce_percent,max_pce_percent,avg_jsc_raw,avg_voc_raw,avg_ff_raw,example_name,example_smiles,common_semiconductors,common_redox_couples,common_substrates,sources,screening_reasons,example_dois,example_titles
Bahraini henna ( 80 g ),natural_or_bio_based_candidate,1,0.128,0.128,,0.426,24.6,,,TiO2,,,elsevier,keyword:henna; natural_or_plant_name_screen,10.1016/j.rser.2016.11.198,Natural dyes for dye sensitized solar cell: A review
Bahraini Henna,natural_or_bio_based_candidate,1,0.128,0.128,0.368,0.426,0.24,,,TiO2,,,elsevier,keyword:henna; natural_or_plant_name_screen,10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers
C. alata,natural_or_bio_based_candidate,1,0.122,0.122,0.16,0.8,0.95,,,TiO2,,,elsevier,natural_or_plant_name_screen,10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers
Yemeni henna,natural_or_bio_based_candidate,1,0.117,0.117,0.407,0.306,28.1,,,,I−/I3−,,elsevier,keyword:henna; natural_or_plant_name_screen,10.1016/j.rser.2015.07.052,"Review on natural dye sensitized solar cells: Operation, materials and methods"
Yemeni henna ( 87 g ),natural_or_bio_based_candidate,1,0.117,0.117,,0.306,28.1,,,TiO2,,,elsevier,keyword:henna; natural_or_plant_name_screen,10.1016/j.rser.2016.11.198,Natural dyes for dye sensitized solar cell: A review
Yemeni Henna,natural_or_bio_based_candidate,1,0.117,0.117,0.407,0.306,0.28,,,TiO2,,,elsevier,keyword:henna; natural_or_plant_name_screen,10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers
Chl,natural_or_bio_based_candidate,1,0.064,0.064,0.185,0.502,69.3,,CCC1=C(C2=NC1=CC3=C(C4=C([N-]3)C(=C5[C@H]([C@@H](C(=N5)C=C6C(=C(C(=C2)[N-]6)C=C)C)C)CCC(=O)OC/C=C(\C)/CCC[C@H](C)CCC[C@H](C)CCCC(C)C)[C@H](C4=O)C(=O)OC)C)C.[Mg+2],TiO2,,FTO,elsevier,keyword:chlorophyll; natural_or_plant_name_screen,10.1016/j.jphotochem.2019.112216,"Photoconversion efficiency of Titania solar cells co-sensitized with natural pigments from cochineal, papaya peel and microalga Scenedesmus obliquus"
mulberry,natural_or_bio_based_candidate,2,0.0505,0.051,0.1805,0.55,0.511,,,TiO2,,,elsevier,keyword:berry; natural_or_plant_name_screen,10.1016/j.cplett.2018.01.008; 10.1016/j.optmat.2019.02.037,Fabrication and characterization of dye-sensitized solar cells based on natural plants | Natural dye extract from Cassia fistula and its application in dye-sensitized solar cell: Experimental and density functional theory studies
C. surattensis,natural_or_bio_based_candidate,1,0.046,0.046,0.13,0.47,0.74,,,TiO2,,,elsevier,natural_or_plant_name_screen,10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers
C. tora,natural_or_bio_based_candidate,1,0.013,0.013,0.06,0.29,0.72,,,TiO2,,,elsevier,natural_or_plant_name_screen,10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers
